A,B,C,D,xÇ∆ç≈è¨åÎç∑ÇéÊÇÈid,ç≈è¨åÎç∑x,yÇ∆ç≈è¨åÎç∑ÇéÊÇÈid,ç≈è¨åÎç∑y,ç≈è¨åÎç∑xÇÃ2è,ç≈è¨åÎç∑yÇÃ2è,xÇ∆yÇÃòa,ÉãÅ[Ég(ç≈èIåãâ )
1,28144575,135.7433889,35.04918704,2,0.0002714,13,6.04E-06,7.3658E-08,3.64816E-11,7.36944E-08,
2,28144575,135.7431175,35.0491809,6,0.0002714,12,6.00E-08,7.3658E-08,3.6E-15,7.3658E-08,
3,28144575,135.7428333,35.04918096,13,0.0001749,13,4.00E-08,3.059E-08,1.6E-15,3.059E-08,
4,28144575,135.744,35.04920085,5,6.80E-06,5,1.50E-07,4.624E-11,2.25E-14,4.62625E-11,
5,28144575,135.7439932,35.0492007,22,6.80E-06,22,1.50E-07,4.624E-11,2.25E-14,4.62625E-11,
6,28144575,135.7433889,35.04918704,2,0.0002714,13,6.04E-06,7.3658E-08,3.64816E-11,7.36944E-08,
7,28144575,135.7465556,35.04950372,53,2.30E-05,53,3.72E-06,5.29E-10,1.38384E-11,5.42838E-10,
8,28144575,135.7465326,35.0495,52,2.30E-05,52,3.72E-06,5.29E-10,1.38384E-11,5.42838E-10,
9,28144575,135.7465,35.04949474,53,3.26E-05,53,5.26E-06,1.06276E-09,2.76676E-11,1.09043E-09,
10,28144575,135.7460266,35.0494182,23,2.66E-05,23,4.44E-06,7.0756E-10,1.97136E-11,7.27274E-10,
11,28144575,135.746,35.04941376,10,2.66E-05,10,4.44E-06,7.0756E-10,1.97136E-11,7.27274E-10,
12,28144575,135.7428333,35.04918096,13,0.0001749,13,4.00E-08,3.059E-08,1.6E-15,3.059E-08,
13,28144575,135.7426584,35.049181,12,0.0001749,12,4.00E-08,3.059E-08,1.6E-15,3.059E-08,
14,28144575,135.7423942,35.0491719,48,5.30E-06,48,1.80E-07,2.809E-11,3.24E-14,2.81224E-11,
15,28144575,135.7423889,35.04917172,14,5.30E-06,14,1.80E-07,2.809E-11,3.24E-14,2.81224E-11,
16,28144575,135.742,35.04915831,17,0.0001278,17,4.41E-06,1.63328E-08,1.94481E-11,1.63523E-08,
17,28144575,135.7418722,35.0491539,49,0.0001278,49,4.41E-06,1.63328E-08,1.94481E-11,1.63523E-08,
18,28144575,135.7416111,35.04914782,30,0.0001685,30,3.92E-06,2.83923E-08,1.53664E-11,2.84076E-08,
19,28144575,135.7444444,35.04920878,37,3.30E-05,37,5.20E-07,1.089E-09,2.704E-13,1.08927E-09,
20,28144575,135.7442757,35.0492061,21,0.0001531,21,2.50E-06,2.34396E-08,6.25E-12,2.34459E-08,
21,28144575,135.7441226,35.0492036,22,0.0001226,20,2.50E-06,1.50308E-08,6.25E-12,1.5037E-08,
22,28144575,135.744,35.04920085,5,6.80E-06,5,1.50E-07,4.624E-11,2.25E-14,4.62625E-11,
23,28144575,135.746,35.04941376,10,2.66E-05,10,4.44E-06,7.0756E-10,1.97136E-11,7.27274E-10,
24,28144575,135.745559,35.0493402,25,8.49E-05,25,1.42E-05,7.20801E-09,2.0164E-10,7.40965E-09,
25,28144575,135.7454741,35.049326,46,2.97E-05,46,4.12E-06,8.8209E-10,1.69744E-11,8.99064E-10,
26,28144575,135.7454444,35.04932188,25,2.97E-05,25,4.12E-06,8.8209E-10,1.69744E-11,8.99064E-10,
27,28144575,135.7413333,35.04913477,28,2.32E-05,28,4.17E-06,5.3824E-10,1.73889E-11,5.55629E-10,
28,28144575,135.7413101,35.0491306,32,2.32E-05,32,4.17E-06,5.3824E-10,1.73889E-11,5.55629E-10,
29,28144575,135.7416111,35.04914782,30,0.0001685,30,3.92E-06,2.83923E-08,1.53664E-11,2.84076E-08,
30,28144575,135.7414426,35.0491439,31,6.67E-05,31,1.50E-06,4.44889E-09,2.25E-12,4.45114E-09,
31,28144575,135.7413759,35.0491424,32,4.26E-05,30,1.50E-06,1.81476E-09,2.25E-12,1.81701E-09,
32,28144575,135.7413333,35.04913477,28,2.32E-05,28,4.17E-06,5.3824E-10,1.73889E-11,5.55629E-10,
33,28144575,135.7491111,35.04976437,40,1.79E-05,40,9.30E-07,3.2041E-10,8.649E-13,3.21275E-10,
34,28144575,135.7487222,35.04974426,66,0.0001036,66,5.36E-06,1.0733E-08,2.87296E-11,1.07617E-08,
35,28144575,135.7447778,35.0492328,36,4.88E-05,36,3.80E-06,2.38144E-09,1.444E-11,2.39588E-09,
36,28144575,135.744729,35.049229,57,4.88E-05,57,3.80E-06,2.38144E-09,1.444E-11,2.39588E-09,
37,28144575,135.7444774,35.0492093,38,3.30E-05,38,5.20E-07,1.089E-09,2.704E-13,1.08927E-09,
38,28144575,135.7444444,35.04920878,37,3.30E-05,37,5.20E-07,1.089E-09,2.704E-13,1.08927E-09,
39,28144575,135.7495556,35.04978738,44,0.0002825,44,1.46E-05,7.98063E-08,2.13744E-10,8.002E-08,
40,28144575,135.749129,35.0497653,41,1.79E-05,41,9.30E-07,3.2041E-10,8.649E-13,3.21275E-10,
41,28144575,135.7491111,35.04976437,40,1.79E-05,40,9.30E-07,3.2041E-10,8.649E-13,3.21275E-10,
42,28144575,135.75,35.04981159,43,6.78E-05,43,4.69E-06,4.59684E-09,2.19961E-11,4.61884E-09,
43,28144575,135.7499322,35.0498069,42,6.78E-05,42,4.69E-06,4.59684E-09,2.19961E-11,4.61884E-09,
44,28144575,135.7498381,35.049802,43,9.41E-05,43,4.90E-06,8.85481E-09,2.401E-11,8.87882E-09,
